Accession	Up/Down	Gene
GSE41018	up	KALRN
GSE41018	up	STIP1
GSE41018	up	PPP3CB
GSE41018	up	UGCG
GSE41018	up	LDHA
GSE41018	up	CSRP1
GSE41018	up	SH3BGRL3
GSE41018	up	TIMP2
GSE41018	up	SPTBN2
GSE41018	up	ZFP365
GSE41018	up	DYNC1I2
GSE41018	up	IL11RA1
GSE41018	up	1110008P14RIK
GSE41018	up	TMOD2
GSE41018	up	ELOVL5
GSE41018	up	SLC2A13
GSE41018	up	SYP
GSE41018	up	UBE4B
GSE41018	up	SCAF1
GSE41018	up	TUBB4B
GSE41018	up	TUBB4A
GSE41018	up	RAB11B
GSE41018	up	PPP2CA
GSE41018	up	SGSM1
GSE41018	up	NGFRAP1
GSE41018	up	FAM171B
GSE41018	up	CD47
GSE41018	up	CDK5R1
GSE41018	up	DYNC1H1
GSE41018	up	ERRFI1
GSE41018	up	DIRAS2
GSE41018	up	RPLP1
GSE41018	up	PTN
GSE41018	up	AP2A2
GSE41018	up	SPPL3
GSE41018	up	GNAI2
GSE41018	up	SMG7
GSE41018	up	UBL5
GSE41018	up	SPTLC1
GSE41018	up	TUBA1B
GSE41018	up	CAMK2N1
GSE41018	up	PSMB4
GSE41018	up	ENC1
GSE41018	up	SDF4
GSE41018	up	CKB
GSE41018	up	SLC17A7
GSE41018	up	SH3GLB2
GSE41018	up	RAB2A
GSE41018	up	APLP1
GSE41018	up	B3GAT1
GSE41018	up	UBE2B
GSE41018	up	ATP1B2
GSE41018	up	TMEM130
GSE41018	up	ATP1B1
GSE41018	up	OLFM1
GSE41018	up	MORF4L2
GSE41018	up	RAB31
GSE41018	up	GPRIN1
GSE41018	up	SCG2
GSE41018	up	SCG3
GSE41018	up	FKBP4
GSE41018	up	COPS8
GSE41018	up	ARL8B
GSE41018	up	XPR1
GSE41018	up	PPID
GSE41018	up	NAPB
GSE41018	up	DGKG
GSE41018	up	SEPW1
GSE41018	up	RASL11B
GSE41018	up	DLST
GSE41018	up	2510009E07RIK
GSE41018	up	PARK7
GSE41018	up	CLU
GSE41018	up	CELSR2
GSE41018	up	ATP1A1
GSE41018	up	FAM214A
GSE41018	up	NDRG1
GSE41018	up	HSP90B1
GSE41018	up	RELN
GSE41018	up	PAK1
GSE41018	up	LAMP1
GSE41018	up	GPC1
GSE41018	up	STX7
GSE41018	up	TPM1
GSE41018	up	DROSHA
GSE41018	up	DENND5A
GSE41018	up	NPTX2
GSE41018	up	PAK3
GSE41018	up	PDIA3
GSE41018	up	SMAD4
GSE41018	up	SYT1
GSE41018	up	PRNP
GSE41018	up	NSG2
GSE41018	up	ACLY
GSE41018	up	DLG2
GSE41018	up	DLG3
GSE41018	up	PITPNM2
GSE41018	up	REEP5
GSE41018	up	CDHR1
GSE41018	up	GNB2
GSE41018	up	STT3B
GSE41018	up	FSCN1
GSE41018	up	GRIA2
GSE41018	up	FAM49A
GSE41018	up	USP54
GSE41018	up	CNP
GSE41018	up	SLC2A1
GSE41018	up	PPP1R9B
GSE41018	up	NRD1
GSE41018	up	BTBD1
GSE41018	up	BZRAP1
GSE41018	up	CYB5B
GSE41018	up	HMGCS1
GSE41018	up	USP22
GSE41018	up	CMTM5
GSE41018	up	MT1
GSE41018	up	OLIG1
GSE41018	up	MT3
GSE41018	up	43713
GSE41018	up	SENP3
GSE41018	up	PJA1
GSE41018	up	RABGGTB
GSE41018	up	MERTK
GSE41018	up	HIGD2A
GSE41018	up	AHI1
GSE41018	up	MEIS2
GSE41018	up	ACO2
GSE41018	up	KCNK1
GSE41018	up	NFE2L1
GSE41018	up	SAR1A
GSE41018	up	HPCA
GSE41018	up	TRF
GSE41018	up	NRXN2
GSE41018	up	DTX3
GSE41018	up	BRK1
GSE41018	up	KLC1
GSE41018	up	ITPR1
GSE41018	up	PLD3
GSE41018	up	PSAP
GSE41018	up	NRIP3
GSE41018	up	BCAS1
GSE41018	up	IP6K1
GSE41018	up	SULT4A1
GSE41018	up	FEM1B
GSE41018	up	DYNLT3
GSE41018	up	NDUFA2
GSE41018	up	IMMT
GSE41018	up	SORL1
GSE41018	up	SOD1
GSE41018	up	PKM
GSE41018	up	KLF9
GSE41018	up	RAB15
GSE41018	up	VGF
GSE41018	up	GAPDH
GSE41018	up	RNF10
GSE41018	up	ABCD3
GSE41018	up	DCTN5
