Accession	Up/Down	Gene	Effect
GSE72901	down	SPTA1	Activate
GSE72901	down	LDHA	Activate
GSE72901	down	CASP12	Activate
GSE72901	down	TIMP3	Activate
GSE72901	down	RNF150	Activate
GSE72901	down	TK1	Activate
GSE72901	down	TIMP1	Activate
GSE72901	down	TIMP2	Activate
GSE72901	down	EGLN1	Activate
GSE72901	down	ATRNL1	Activate
GSE72901	down	DYNLL1	Activate
GSE72901	down	STAT1	Activate
GSE72901	down	PGAM1	Activate
GSE72901	down	ELOVL6	Activate
GSE72901	down	CDKN2B	Activate
GSE72901	down	TUBB4B	Activate
GSE72901	down	NFIB	Activate
GSE72901	down	NFIC	Activate
GSE72901	down	SLC39A10	Activate
GSE72901	down	ETNK1	Activate
GSE72901	down	HYLS1	Activate
GSE72901	down	CKS2	Activate
GSE72901	down	LGR6	Activate
GSE72901	down	ANGPTL2	Activate
GSE72901	down	GM45234	Activate
GSE72901	down	PRSS23	Activate
GSE72901	down	TUBA1A	Activate
GSE72901	down	CENPA	Activate
GSE72901	down	LFNG	Activate
GSE72901	down	IFIH1	Activate
GSE72901	down	TMSB4X	Activate
GSE72901	down	NDST1	Activate
GSE72901	down	TUBA1C	Activate
GSE72901	down	TUBA1B	Activate
GSE72901	down	OLFML3	Activate
GSE72901	down	SMCHD1	Activate
GSE72901	down	NUF2	Activate
GSE72901	down	GCNT4	Activate
GSE72901	down	GATSL2	Activate
GSE72901	down	TNKS1BP1	Activate
GSE72901	down	FADS2	Activate
GSE72901	down	GSN	Activate
GSE72901	down	PHLDA1	Activate
GSE72901	down	SLC39A1	Activate
GSE72901	down	TLE3	Activate
GSE72901	down	PRRX1	Activate
GSE72901	down	SKIDA1	Activate
GSE72901	down	CYP51	Activate
GSE72901	down	CDC25B	Activate
GSE72901	down	TUBA4A	Activate
GSE72901	down	CXCL10	Activate
GSE72901	down	CNOT6	Activate
GSE72901	down	SLC9A5	Activate
GSE72901	down	CXCL12	Activate
GSE72901	down	STIM2	Activate
GSE72901	down	LY6A	Activate
GSE72901	down	LY6E	Activate
GSE72901	down	PHIP	Activate
GSE72901	down	S100A4	Activate
GSE72901	down	NPTXR	Activate
GSE72901	down	DHCR7	Activate
GSE72901	down	FIGF	Activate
GSE72901	down	PLXND1	Activate
GSE72901	down	CSF1	Activate
GSE72901	down	FAM129B	Activate
GSE72901	down	HR	Activate
GSE72901	down	ATN1	Activate
GSE72901	down	ZBTB20	Activate
GSE72901	down	FGD3	Activate
GSE72901	down	CTGF	Activate
GSE72901	down	TUBB6	Activate
GSE72901	down	RBBP6	Activate
GSE72901	down	HAS2	Activate
GSE72901	down	SH3BP4	Activate
GSE72901	down	GRB14	Activate
GSE72901	down	NACC2	Activate
GSE72901	down	KMT5A	Activate
GSE72901	down	TPM1	Activate
GSE72901	down	LDLR	Activate
GSE72901	down	KPNA2	Activate
GSE72901	down	MAP2K3	Activate
GSE72901	down	IGSF10	Activate
GSE72901	down	SMO	Activate
GSE72901	down	FSCN1	Activate
GSE72901	down	XAF1	Activate
GSE72901	down	MAP3K14	Activate
GSE72901	down	EIF4G3	Activate
GSE72901	down	LHX9	Activate
GSE72901	down	PFKFB3	Activate
GSE72901	down	ZFP467	Activate
GSE72901	down	IRS1	Activate
GSE72901	down	CD151	Activate
GSE72901	down	MAZ	Activate
GSE72901	down	OLFML2B	Activate
GSE72901	down	WISP1	Activate
GSE72901	down	NHSL1	Activate
GSE72901	down	EFEMP1	Activate
GSE72901	down	FGF7	Activate
GSE72901	down	G3BP2	Activate
GSE72901	down	THEM6	Activate
GSE72901	down	ZFP462	Activate
GSE72901	down	IL13RA1	Activate
GSE72901	down	FUS	Activate
GSE72901	down	ITGA5	Activate
